Code,Waarde,DatumVanaf,DatumTot,Toelichting
1,Aalburg,1994-02-01,9999-12-31,ABG00
2,Aalsmeer,1994-02-01,9999-12-31,AMR03
3,Aalst Gelderland,1994-02-01,9999-12-31,AAL02
4,Aalst Noord-Brabant,1994-02-01,9999-12-31,AAL01
5,Aalten,1994-02-01,9999-12-31,ATN02
6,Aardenburg,1994-02-01,9999-12-31,ADB00
7,Aarlanderveen,1994-02-01,9999-12-31,ALD00
8,Aarle-Rixtel,1994-02-01,9999-12-31,ALE00
9,Abbekerk,1994-02-01,1996-01-31,ABK00
10,Abbenbroek,1994-02-01,9999-12-31,ABB00
11,Abcoude,1994-02-01,9999-12-31,ACD00
12,Abstede,1994-02-01,9999-12-31,ASD40
13,Adorp,1994-02-01,9999-12-31,ADP00
14,Aduard,1994-02-01,9999-12-31,ADA00
15,Aerdt,1994-02-01,9999-12-31,AER00
16,Afferden,1994-02-01,9999-12-31,AFD00
17,Akersloot,1994-02-01,9999-12-31,AKS01
18,Akkerwoude,1994-02-01,9999-12-31,AKW00
19,Akkrum,1994-02-01,9999-12-31,AKM02
20,Alblasserdam,1994-02-01,9999-12-31,ABS01
21,Alem,1994-02-01,9999-12-31,ALM00
22,Alkemade,1994-02-01,9999-12-31,AKM01
23,Alkmaar,1994-02-01,9999-12-31,AMR01
24,Almen,1994-02-01,9999-12-31,AMN00
25,Almere,1994-02-01,9999-12-31,AMR04
26,Alphen,1994-02-01,9999-12-31,APN02
27,Alphen aan den Rijn,1994-02-01,9999-12-31,APN01
28,Alphen en Riel,1994-02-01,9999-12-31,APN03
29,Ambt-Almelo,1994-02-01,9999-12-31,AML01
30,Ambt-Delden,1994-02-01,9999-12-31,DDN01
31,Ambt-Doetinchem,1994-02-01,9999-12-31,DTC01
32,Ambt-Hardenberg,1994-02-01,9999-12-31,HDB01
33,Ambt-Ommen,1994-02-01,9999-12-31,OMN01
34,Amby,1994-02-01,9999-12-31,ABY00
35,Ameide,1994-02-01,9999-12-31,AMD00
36,Amerongen,1994-02-01,9999-12-31,AMR02
37,Amersfoort,1994-02-01,9999-12-31,AMF00
38,Ammerstol,1994-02-01,9999-12-31,AMS01
39,Ammerzoden,1994-02-01,9999-12-31,AMZ00
40,Amstelveen,1994-02-01,9999-12-31,ASV00
41,Amstenrade,1994-02-01,9999-12-31,ASR00
42,Amsterdam,2000-04-07,9999-12-31,ASD02;ASD03;ASD04;ASD05;ASD06;ASD07;ASD08;ASD09;ASD10;ASD11;ASD12;ASD13;ASD14;ASD15;ASD16;ASD17;ASD18;ASD19;ASD20;ASD21;ASD22;ASD23;ASD24;ASD25;ASD26;ASD27;ASD28;ASD29;ASD30;ASD31;ASD32;ASD33;ASD34;ASD35;ASD36;ASD37;ASD38;ASD39;ASD41;ASD42;ASD43
43,Andijk,1994-02-01,9999-12-31,ADK00
44,Angeren,1994-02-01,9999-12-31,AGR00
45,Angerlo,1994-02-01,9999-12-31,AGL00
46,Anjum,1994-02-01,9999-12-31,AJM00
47,Ankeveen,1994-02-01,9999-12-31,AKV00
48,Anloo,1994-02-01,9999-12-31,ALO00
49,Anna Paulowna,1994-02-01,9999-12-31,ANA01
50,Apeldoorn,1994-02-01,9999-12-31,APD01;APD02;APD03;APD04
51,Appeltern,1994-02-01,9999-12-31,APT00
52,Appingedam,1994-02-01,9999-12-31,APG00
53,Arcen en Velden,1994-02-01,9999-12-31,ACN00
54,Arkel,1994-02-01,9999-12-31,AKL00
55,Arnemuiden,1994-02-01,9999-12-31,ANM00
56,Arnhem,1994-02-01,9999-12-31,AHM01;AHM02;AHM03;AHM04;AHM05
57,Arum,1994-02-01,9999-12-31,ARM00
58,Asperen,1994-02-01,9999-12-31,APR00
59,Assen,1994-02-01,9999-12-31,ASN00
60,Assendelft,1994-02-01,9999-12-31,ASD01
61,Asten,1994-02-01,9999-12-31,ATN01
62,Avereest,1994-02-01,9999-12-31,AVE00
63,Axel,1994-02-01,9999-12-31,AEL00
64,Baambrugge,1994-02-01,9999-12-31,BBG02
65,Baard,1994-02-01,9999-12-31,BAA02
66,Baardwijk,1994-02-01,1998-11-30,BWK03
67,Baarle-Nassau,1994-02-01,9999-12-31,BLE01
68,Baarn,1994-02-01,9999-12-31,BAA01
69,Baexem,1994-02-01,9999-12-31,BXM00
70,Baflo,1994-02-01,9999-12-31,BLO00
71,Bahr en Lathum,1994-02-01,9999-12-31,BAH00
72,Bakel en Milheeze,1994-02-01,9999-12-31,BKL02
73,Balgoy,1994-02-01,9999-12-31,BGY00
74,Balk,1994-02-01,9999-12-31,BAL00
75,Ballum,1994-02-01,9999-12-31,BLM00
76,Barendrecht,1994-02-01,9999-12-31,BRD00
77,Barneveld,1994-02-01,9999-12-31,BNV00
78,Barsingerhorn,1994-02-01,9999-12-31,BSG00
79,Barwoutswaarder,1994-02-01,9999-12-31,BWW00
80,Batenburg,1994-02-01,9999-12-31,BTB00
81,Bath,1994-02-01,1998-11-30,BAT00
82,Bathmen,1994-02-01,9999-12-31,BMN02
83,Bedum,1994-02-01,9999-12-31,BDM00
84,Beegden,1994-02-01,9999-12-31,BDN00
85,Beek,1994-02-01,9999-12-31,BEE02
86,Beek en Donk,1994-02-01,9999-12-31,BEE01
87,Beekbergen,1994-02-01,9999-12-31,BBG01
88,Beemster,1994-02-01,9999-12-31,BSR00
89,Beers,1994-02-01,1996-09-23,BEE04
90,Beerta,1994-02-01,9999-12-31,BTA00
91,Beesd,1994-02-01,9999-12-31,BEE03
92,Beesel,1994-02-01,9999-12-31,BSL02
93,Beetgum,1994-02-01,9999-12-31,BGM01
94,Beets,1994-02-01,9999-12-31,BEE05
95,Beetsterzwaag,1994-02-01,9999-12-31,BSZ00
96,Beilen,1994-02-01,9999-12-31,BLN00
97,Belfeld,1994-02-01,9999-12-31,BFD00
98,Bellingwolde,1994-02-01,9999-12-31,BLW00
99,Beltrum,1994-02-01,2011-05-12,BTM00
100,Bemelen,1994-02-01,9999-12-31,BML01
101,Bemmel,1994-02-01,9999-12-31,BML02
102,Bennebroek,1994-02-01,9999-12-31,BNB00
103,Bennekom,1994-02-01,9999-12-31,BNK01
104,Benschop,1994-02-01,9999-12-31,BSP00
105,Benthuizen,1994-02-01,9999-12-31,BHZ02
106,Berg en Terblijt,1994-02-01,9999-12-31,BER01
107,Bergambacht,1994-02-01,9999-12-31,BAB00
108,Bergeijk,1994-02-01,9999-12-31,BEK00
109,Bergen Limburg,1994-02-01,9999-12-31,BGN02
110,Bergen Noord-Holland,1994-02-01,9999-12-31,BGN03
111,Bergen op Zoom,1994-02-01,9999-12-31,BGN01
112,Bergh,1994-02-01,9999-12-31,BER02
113,Bergharen,1994-02-01,9999-12-31,BHR02
114,Berghem,1994-02-01,9999-12-31,BHM00
115,Bergschenhoek,1994-02-01,9999-12-31,BSH00
116,Bergum,1994-02-01,9999-12-31,BGM02
117,Berkel,1994-02-01,9999-12-31,BKL04
118,Berkel en Rodenrijs,1994-02-01,9999-12-31,BKL01
119,Berkenwoude,1994-02-01,9999-12-31,BKW00
120,Berlicum,1994-02-01,9999-12-31,BLC00
121,Berlikum,1994-02-01,9999-12-31,BLK00
122,Bernisse,1994-02-01,9999-12-31,BNS04
123,Besoijen,1994-02-01,1998-11-30,BSE00
124,Best,1994-02-01,9999-12-31,BES00
125,Beuningen,1994-02-01,9999-12-31,BNG00
126,Beusichem,1994-02-01,9999-12-31,BSC00
127,Beverwijk,1994-02-01,9999-12-31,BVW00
128,Bierum,1994-02-01,9999-12-31,BRM01
129,Bingelrade,1994-02-01,9999-12-31,BGR02
130,Birdaard,1994-02-01,9999-12-31,BDD00
131,Bladel,1994-02-01,9999-12-31,BDL01
132,Blankenham,1994-02-01,9999-12-31,BKH00
133,Blaricum,1994-02-01,9999-12-31,BRC00
134,Bleiswijk,1994-02-01,9999-12-31,BWK02
135,Blesdijke,1994-02-01,9999-12-31,BDK00
136,Bleskensgraaf,1994-02-01,9999-12-31,BKG00
137,Blija,1994-02-01,9999-12-31,BJA00
138,Bloemendaal,1994-02-01,9999-12-31,BMD00
139,Blokzijl,1994-02-01,9999-12-31,BZL00
140,Bocholtz,1994-02-01,9999-12-31,BCZ00
141,Bodegraven,1994-02-01,9999-12-31,BDG00
142,Boekel,1994-02-01,9999-12-31,BKL05
143,Bolsward,1994-02-01,9999-12-31,BWD01
144,Boornbergum,1994-02-01,9999-12-31,BBG03
145,Borculo,1994-02-01,9999-12-31,BCL00
146,Borger,1994-02-01,9999-12-31,BGR01
147,Borgharen,1994-02-01,9999-12-31,BHR01
148,Borkel en Schaft,1994-02-01,9999-12-31,BKL06
149,Born,1994-02-01,9999-12-31,BOR00
150,Borne,1994-02-01,9999-12-31,BNE00
151,Borsele,1994-02-01,9999-12-31,BSL01
152,Boskoop,1994-02-01,9999-12-31,BKP00
153,Bovenkarspel,1994-02-01,2000-01-01,BVK00
154,Boxmeer,1994-02-01,9999-12-31,BMR00
155,Boxtel,1994-02-01,9999-12-31,BTL00
156,Brakel,1994-02-01,9999-12-31,BKL08
157,Brandwijk,1994-02-01,9999-12-31,BWK01
158,Breda,1994-02-01,9999-12-31,BDA00
159,Brederwiede1995-01-05,9999-12-31,BDW00
160,Bredevoort,1994-02-01,9999-12-31,BDV00
161,Breukelen,1994-02-01,9999-12-31,BKL09
162,Breukelen Sint Pieters,1994-02-01,9999-12-31,BKL03
163,Breukelen-Nijenrode,1994-02-01,9999-12-31,BKL07
164,Brielle,1994-02-01,9999-12-31,BLE02
165,Broek in Waterland,1994-02-01,9999-12-31,BRO00
166,Broekhuizen,1994-02-01,9999-12-31,BHZ01
167,Broeksittard,1994-02-01,2005-05-18,BST02
168,Brouwershaven,1994-02-01,9999-12-31,BWH00
169,Bruinisse,1994-02-01,9999-12-31,BNS00
170,Brummen,1994-02-01,9999-12-31,BMN01
171,Brunssum,1994-02-01,9999-12-31,BSM02
172,Budel,1994-02-01,9999-12-31,BDL02
173,Buggenum,1994-02-01,9999-12-31,BGN04
174,Buitenpost,1994-02-01,9999-12-31,BTP00
175,Bunde,1994-02-01,9999-12-31,BDE00
176,Bunnik,1994-02-01,9999-12-31,BNK02
177,Bunschoten,1994-02-01,9999-12-31,BST01
178,Buren,1994-02-01,9999-12-31,BRN00
179,Burgwerd,1994-02-01,9999-12-31,BWD02
180,Burum,1994-02-01,9999-12-31,BRM02
181,Bussum,1994-02-01,9999-12-31,BSM01
182,Buurmalsen,1994-02-01,9999-12-31,BMS00
183,Cadier en Keer,1994-02-01,9999-12-31,CDR00
184,Cadzand,1994-02-01,1998-11-30,CZD00
185,Callantsoog,1994-02-01,9999-12-31,CLO00
186,Capelle,1994-02-01,9999-12-31,CPL02
187,Capelle aan den IJssel,1994-02-01,9999-12-31,CPL01
188,Castricum,1994-02-01,9999-12-31,CTC00
189,Catharijne,1994-02-01,9999-12-31,CTR00
190,Chaam,1994-02-01,9999-12-31,CHA00
191,Charlois,1994-02-01,9999-12-31,CLS00
192,Clinge,1994-02-01,1998-11-30,CGE00
193,Coevorden,1994-02-01,9999-12-31,CVD00
194,Cothen,1994-02-01,9999-12-31,CTN00
195,Cuijk,1994-02-01,9999-12-31,CUI00
196,Culemborg,1994-02-01,9999-12-31,CLB00
197,Dalen,1994-02-01,9999-12-31,DLN00
198,Dalfsen,1994-02-01,9999-12-31,DSN01
199,de Bilt,1994-02-01,9999-12-31,BIL01
200,de Lier,1994-02-01,9999-12-31,LIE00
201,de Rijp,1994-02-01,9999-12-31,RIJ00
202,De Wijk,1994-02-01,9999-12-31,WIJ03
203,Deil,1994-02-01,9999-12-31,DEI00
204,Deinum,1994-02-01,9999-12-31,DNM00
205,Delfshaven,1994-02-01,9999-12-31,DHV00
206,Delft,1994-02-01,9999-12-31,DEL00
207,Delfzijl,1994-02-01,9999-12-31,DZL01
208,den Bommel,1994-02-01,9999-12-31,BML03
209,den Dungen,1994-02-01,9999-12-31,DGN02
210,den Ham,1994-02-01,9999-12-31,HAM00
211,Den Helder,1994-02-01,9999-12-31,HDR00
212,Denekamp,1994-02-01,9999-12-31,DNK00
213,Deurne,1994-02-01,9999-12-31,DNE00
214,Deventer,1994-02-01,9999-12-31,DVT00
215,Didam,1994-02-01,9999-12-31,DDM00
216,Diemen,1994-02-01,9999-12-31,DMN00
217,Diepenheim,1994-02-01,9999-12-31,DPH00
218,Diepenveen,1994-02-01,9999-12-31,DPV00
219,Dieren,1994-02-01,9999-12-31,DRN00
220,Diessen,1994-02-01,9999-12-31,DSN02
221,Diever,1994-02-01,9999-12-31,DVR00
222,Dinteloord,1994-02-01,9999-12-31,DTO02
223,Dinxperlo,1994-02-01,9999-12-31,DPL00
224,Dirksland,1994-02-01,9999-12-31,DLD00
225,Dodewaard,1994-02-01,9999-12-31,DDW00
226,Doesburg,1994-02-01,9999-12-31,DBG02
227,Dokkum,1994-02-01,9999-12-31,DKM00
228,Domburg,1994-02-01,9999-12-31,DBG03
229,Dommelen,1994-02-01,1996-04-30,DML01
230,Dongen,1994-02-01,9999-12-31,DGN01
231,Donkerbroek,1994-02-01,9999-12-31,DKB00
232,Doorn,1994-02-01,9999-12-31,DOO00
233,Doornenburg,1994-02-01,9999-12-31,DNB00
234,Doornspijk,1994-02-01,9999-12-31,DSK00
235,Doorwerth,1994-02-01,9999-12-31,DWH00
236,Dordrecht,1994-02-01,9999-12-31,DDT00
237,Drachten,1994-02-01,9999-12-31,DTN02
238,Drechterland,1994-02-01,9999-12-31,DTL00
239,Dreumel,1994-02-01,9999-12-31,DML02
240,Driebergen-Rijsenburg,1994-02-01,9999-12-31,DBG01
241,Driel,1994-02-01,9999-12-31,DRI00
242,Drogeham,1994-02-01,9999-12-31,DGH00
243,Dronrijp,1994-02-01,9999-12-31,DRP00
244,Dronten,1994-02-01,9999-12-31,DTN01
245,Drunen,1994-02-01,9999-12-31,DNN00
246,Druten,1994-02-01,9999-12-31,DTN03
247,Dubbeldam,1994-02-01,9999-12-31,DBD00
248,Duiveland,1994-02-01,9999-12-31,DVL00
249,Duiven,1994-02-01,9999-12-31,DVN00
250,Duizel,1994-02-01,1996-04-30,DZL02
251,Dussen,1994-02-01,9999-12-31,DSN03
252,Duurswoude,1994-02-01,9999-12-31,DWD00
253,Dwingeloo,1994-02-01,9999-12-31,DGL00
254,Echt,1994-02-01,9999-12-31,ECH00
255,Echteld,1994-02-01,9999-12-31,ETD00
256,Eck en Wiel,1994-02-01,9999-12-31,ECK00
257,Edam,1994-02-01,9999-12-31,EDM00
258,Ede,1994-02-01,9999-12-31,EDE01
259,Ee,1994-02-01,9999-12-31,EEX00
260,Eelde,1994-02-01,9999-12-31,EDE02
261,Eemnes,1994-02-01,9999-12-31,ENS00
262,Eenrum,1994-02-01,9999-12-31,ERM00
263,Eersel,1994-02-01,9999-12-31,ESL00
264,Egmond aan Zee,1994-02-01,9999-12-31,EMD01
265,Egmond-Binnen,1994-02-01,9999-12-31,EMD02
266,Eibergen,1994-02-01,9999-12-31,EBG02
267,Eijsden,1994-02-01,9999-12-31,EDN00
268,Eindhoven,1994-02-01,9999-12-31,EHV00
269,Elburg,1994-02-01,9999-12-31,EBG01
270,Elsloo,1994-02-01,9999-12-31,ELO00
271,Elst,1994-02-01,9999-12-31,ELS00
272,Emmen,1994-02-01,9999-12-31,EMN00
273,Empel,1994-02-01,1996-04-30,EPL00
274,Enkhuizen,1994-02-01,9999-12-31,EHZ00
275,Enschede,1994-02-01,9999-12-31,ESD00
276,Epe en Oene,1994-02-01,9999-12-31,EPE00
277,Ermelo,1994-02-01,9999-12-31,EML00
278,Erp,1994-02-01,9999-12-31,ERP00
279,Esch,1994-02-01,9999-12-31,ESC00
280,Est en Opijnen,1994-02-01,9999-12-31,EST00
281,Etten,1994-02-01,1998-11-30,ETN02
282,Etten-Leur,1994-02-01,9999-12-31,ETN01
283,Everdingen,1994-02-01,9999-12-31,EVD00
284,Ewijk,1994-02-01,9999-12-31,EWK00
285,Eygelshoven,1994-02-01,1998-11-30,EGH00
286,Ezinge,1994-02-01,9999-12-31,EZG00
287,Ferwerd,1994-02-01,9999-12-31,FWD00
288,Fijnaart,1994-02-01,9999-12-31,FNT01
289,Finsterwolde,1994-02-01,9999-12-31,FSW00
290,Franeker,1994-02-01,9999-12-31,FNK00
291,Gaast,1994-02-01,9999-12-31,GAA00
292,Gameren,1994-02-01,9999-12-31,GMR00
293,Garderen,1994-02-01,9999-12-31,GDR03
294,Gassel,1994-02-01,1996-09-23,GSL02
295,Gasselte,1994-02-01,9999-12-31,GST00
296,Geertruidenberg,1994-02-01,9999-12-31,GTD01
297,Geervliet,1994-02-01,9999-12-31,GVT00
298,Geesteren,1994-02-01,9999-12-31,GTR00
299,Geffen,1994-02-01,9999-12-31,GFN00
300,Geldermalsen,1994-02-01,9999-12-31,GDM00
301,Geldrop,1994-02-01,9999-12-31,GDP00
302,Geleen,1994-02-01,9999-12-31,GLN00
303,Gemert,1994-02-01,9999-12-31,GMT00
304,Gendringen,1994-02-01,9999-12-31,GDG00
305,Gendt,1994-02-01,9999-12-31,GEN00
306,Genemuiden,1994-02-01,9999-12-31,GNM00
307,Gennep,1994-02-01,9999-12-31,GNP00
308,Gestel,1994-02-01,9999-12-31,GTL01
309,Geulle,1994-02-01,9999-12-31,GLE02
310,Giekerk,1994-02-01,9999-12-31,GKK02
311,Giessenburg,1994-02-01,9999-12-31,GSB00
312,Gieten,1994-02-01,9999-12-31,GTN00
313,Giethoorn,1994-02-01,9999-12-31,GHN00
314,Gilze en Rijen,1994-02-01,9999-12-31,GZE00
315,Ginneken,1994-02-01,9999-12-31,GNK02
316,Goedereede,1994-02-01,9999-12-31,GDR01
317,Goes,1994-02-01,9999-12-31,GOE00
318,Goirle,1994-02-01,9999-12-31,GLE01
319,Goor,1994-02-01,9999-12-31,GOO00
320,Gorinchem,1994-02-01,9999-12-31,GRC00
321,Gorredijk,1994-02-01,9999-12-31,GRD00
322,Gorssel,1994-02-01,9999-12-31,GSL01
323,Gouda,1994-02-01,9999-12-31,GDA01
324,Gouderak,1994-02-01,9999-12-31,GDR02
325,Goudriaan,1994-02-01,9999-12-31,GDA02
326,Goudswaard,1994-02-01,9999-12-31,GWD00
327,Graauw,1994-02-01,1998-11-30,GRA00
328,Grafhorst,1994-02-01,2000-01-01,GHT00
329,Graft,1994-02-01,1996-01-31,GRA02
330,Graft-de Rijp,1994-02-01,9999-12-31,GRA03
331,Gramsbergen,1994-02-01,9999-12-31,GBG00
332,Grathem,1994-02-01,9999-12-31,GTM00
333,Grave,1994-02-01,9999-12-31,GVE00
334,Grevenbicht,1994-02-01,9999-12-31,GVB00
335,Grijpskerk,1994-02-01,9999-12-31,GKK01
336,Groenlo,1994-02-01,9999-12-31,GLO00
337,Groesbeek,1994-02-01,9999-12-31,GBK00
338,Groessen en Loo,1994-02-01,9999-12-31,GSN00
339,Groningen,1994-02-01,9999-12-31,GNG00;GNG01
340,Gronsveld,1994-02-01,9999-12-31,GVD01
341,Groot-Ammers,1994-02-01,9999-12-31,AMS02
342,Grootebroek,1994-02-01,2000-01-01,GTB00
343,Grootegast,1994-02-01,9999-12-31,GTG00
344,Grouw,1994-02-01,9999-12-31,GRO00
345,Grubbenvorst,1994-02-01,9999-12-31,GBV00
346,Gulpen,1994-02-01,9999-12-31,GPN00
347,Haaften,1994-02-01,9999-12-31,HTN05
348,Haaksbergen,1994-02-01,9999-12-31,HBG01
349,Haaren,1994-02-01,9999-12-31,HRN02
350,Haarlem,1994-02-01,9999-12-31,HLM01;HLM02
351,Haarlemmerliede en Spaarnwoude,1994-02-01,9999-12-31,HLM04
352,Haarlemmermeer,1994-02-01,9999-12-31,HLM03
353,Haastrecht,1994-02-01,9999-12-31,HTT01
354,Haelen,1994-02-01,9999-12-31,HLN02
355,Hagestein,1994-02-01,9999-12-31,HGS00
356,Hall,1994-02-01,9999-12-31,HAL00
357,Hallum,1994-02-01,9999-12-31,HLM05
358,Halsteren,1994-02-01,9999-12-31,HSR00
359,Haps,1994-02-01,1996-09-23,HAP00
360,Hardegarijp,1994-02-01,9999-12-31,HDG00
361,Harderwijk,1994-02-01,9999-12-31,HDW00
362,Hardinxveld-Giessendam,1994-02-01,9999-12-31,HDV00
363,Haren,1994-02-01,9999-12-31,HRN01
364,Harenkarspel,1994-02-01,9999-12-31,HRK00
365,Harkstede,1994-02-01,1998-11-30,HSD02
366,Harlingen,1994-02-01,9999-12-31,HLG02
367,Harmelen,1994-02-01,9999-12-31,HML01
368,Hasselt,1994-02-01,9999-12-31,HST00
369,Hatert,1994-02-01,9999-12-31,HTT02
370,Hattem,1994-02-01,9999-12-31,HTM00
371,Havelte,1994-02-01,9999-12-31,HVT03
372,Hazerswoude,1994-02-01,9999-12-31,HZW00
373,Hedel,1994-02-01,9999-12-31,HDL01
374,Heeg,1994-02-01,9999-12-31,HEE04
375,Heel en Panheel,1994-02-01,9999-12-31,HEE01
376,Heemskerk,1994-02-01,9999-12-31,HKK01
377,Heemstede,1994-02-01,9999-12-31,HSD01
378,Heenvliet,1994-02-01,9999-12-31,HVT04
379,Heer,1994-02-01,9999-12-31,HEE03
380,Heerde,1994-02-01,9999-12-31,HDE00
381,Heerenveen,1994-02-01,9999-12-31,HRV01
382,Heerewaarden,1994-02-01,9999-12-31,HRW00
383,Heerhugowaard,1994-02-01,9999-12-31,HHG00
384,Heerjansdam,1994-02-01,9999-12-31,HJD00
385,Heerlen,1994-02-01,9999-12-31,HLN01
386,Heesch,1994-02-01,9999-12-31,HEE02
387,Heeswijk-Dinther,1994-02-01,9999-12-31,HWK02
388,Heeze,1994-02-01,9999-12-31,HZE00
389,Hei- en Boeicop,1994-02-01,9999-12-31,HEI00
390,Heiloo,1994-02-01,9999-12-31,HLO00
391,Heinenoord,1994-02-01,9999-12-31,HNO02
392,Heino,1994-02-01,9999-12-31,HNO01
393,Hekendorp,1994-02-01,9999-12-31,HKD00
394,Helden,1994-02-01,9999-12-31,HDN01
395,Hellendoorn,1994-02-01,9999-12-31,HLD01
396,Hellevoetsluis,1994-02-01,9999-12-31,HLV01
397,Helmond,1994-02-01,9999-12-31,HMD00
398,Helpman,1994-02-01,9999-12-31,HMN02
399,Helvoirt,1994-02-01,9999-12-31,HVT02
400,Hendrik-Ido-Ambacht,1994-02-01,9999-12-31,HDK03
401,Hengelo Gelderland,1994-02-01,9999-12-31,HGL02
402,Hengelo Overijssel,1994-02-01,9999-12-31,HGL01
403,Herkingen,1994-02-01,9999-12-31,HKG00
